trade_date,ts_code,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2022-01-04,801150.SI,医药生物,11383.79,11216.05,11388.49,11237.37,-148.08,-1.3,889322.0,14970746.0,34.61,4.23,327172470.0,684490181.8996
2022-01-05,801150.SI,医药生物,11218.68,10964.1,11218.72,11003.74,-233.63,-2.08,878040.0,13521178.0,33.89,4.14,320593137.0,670892528.252289
2022-01-06,801150.SI,医药生物,10940.47,10863.74,11036.96,11026.85,23.11,0.21,737195.0,12222728.0,33.96,4.15,321307414.0,671974679.101143
2022-01-07,801150.SI,医药生物,11011.82,10930.17,11086.1,10936.78,-90.07,-0.82,733089.0,13182567.0,33.69,4.12,318799806.0,665812271.190845
2022-01-10,801150.SI,医药生物,10937.78,10897.61,11135.43,11095.68,158.9,1.45,628486.0,11799629.0,34.18,4.18,323447038.0,675177720.341813
2022-01-11,801150.SI,医药生物,11082.47,11073.45,11213.26,11150.53,54.85,0.49,746982.0,13058090.0,34.35,4.2,325073643.0,677628442.690993
2022-01-12,801150.SI,医药生物,11141.87,11098.85,11279.44,11253.63,103.09,0.92,779795.0,13014682.0,34.67,4.24,328130618.0,684160777.697421
2022-01-13,801150.SI,医药生物,11238.58,11025.12,11242.85,11025.12,-228.51,-2.03,819113.0,13788239.0,33.95,4.15,321348257.0,670199240.214308
2022-01-14,801150.SI,医药生物,10973.8,10973.8,11258.79,11200.58,175.46,1.59,931530.0,15916420.0,34.48,4.22,326483913.0,681761859.417456
2022-01-17,801150.SI,医药生物,11231.49,11146.27,11283.7,11254.89,54.31,0.48,847597.0,15299979.0,34.64,4.24,328074016.0,685560576.441495
2022-01-18,801150.SI,医药生物,11225.85,11025.37,11225.87,11037.13,-217.76,-1.93,856471.0,15065169.0,33.99,4.16,321825741.0,672465328.013191
2022-01-19,801150.SI,医药生物,10959.12,10771.91,10984.14,10816.13,-221.0,-2.0,593335.0,11684831.0,33.32,4.08,315533875.0,659822245.156048
2022-01-20,801150.SI,医药生物,10816.45,10711.64,10902.88,10719.34,-96.79,-0.89,704811.0,12818896.0,33.03,4.05,312394793.0,655302467.374972
2022-01-21,801150.SI,医药生物,10679.12,10385.02,10679.12,10395.03,-324.31,-3.03,653549.0,12025764.0,31.98,3.92,301833766.0,635473517.712877
2022-01-24,801150.SI,医药生物,10269.94,10236.94,10353.56,10294.66,-100.37,-0.97,430308.0,8294784.0,31.68,3.88,298926105.0,629843994.068651
2022-01-25,801150.SI,医药生物,10254.04,9990.04,10320.04,9990.04,-304.62,-2.96,516954.0,9073174.0,30.74,3.76,290082508.0,612222180.631248
2022-01-26,801150.SI,医药生物,10017.47,9779.0,10063.67,9847.43,-142.61,-1.43,389482.0,7213173.0,30.3,3.71,285966823.0,604259388.814729
2022-01-27,801150.SI,医药生物,9849.92,9659.18,9871.28,9665.79,-181.64,-1.84,431355.0,7698783.0,29.74,3.64,280871511.0,593689154.420495
2022-01-28,801150.SI,医药生物,9723.68,9603.85,9809.36,9684.57,18.77,0.19,382447.0,6934865.0,29.8,3.65,281534008.0,594126880.036538
2022-02-07,801150.SI,医药生物,9819.44,9732.41,9858.61,9759.98,75.41,0.78,381684.0,6491499.0,30.28,3.71,287945216.0,599363003.253218
2022-02-08,801150.SI,医药生物,9671.11,9525.95,9709.69,9706.83,-53.15,-0.54,366598.0,6804102.0,30.12,3.69,286494983.0,597296962.633202
2022-02-09,801150.SI,医药生物,9691.04,9609.32,9846.6,9834.63,127.8,1.32,438404.0,8142387.0,30.52,3.74,290426238.0,606386305.897619
