trade_date,ts_code,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2022-01-04,801080.SI,电子,5514.88,5424.01,5525.22,5497.86,3.95,0.07,499090.0,9263395.0,36.17,4.43,302399278.0,583075648.970967
2022-01-05,801080.SI,电子,5474.16,5252.87,5474.26,5296.11,-201.74,-3.67,524957.0,10068078.0,34.84,4.27,291509728.0,563619280.335818
2022-01-06,801080.SI,电子,5251.94,5201.42,5307.64,5273.45,-22.66,-0.43,400692.0,7567475.0,34.69,4.25,290260374.0,561065624.348992
2022-01-07,801080.SI,电子,5277.95,5197.49,5312.14,5202.63,-70.82,-1.34,473472.0,7754997.0,34.23,4.2,286462213.0,553609771.610052
2022-01-10,801080.SI,电子,5179.6,5110.09,5252.77,5218.0,15.37,0.3,453477.0,7548216.0,34.33,4.21,287308317.0,555605055.856632
2022-01-11,801080.SI,电子,5218.71,5092.08,5218.73,5098.68,-119.32,-2.29,426024.0,7229738.0,33.56,4.12,281238127.0,543522709.037519
2022-01-12,801080.SI,电子,5131.65,5124.73,5190.71,5182.91,84.23,1.65,364888.0,7025944.0,34.12,4.19,285892706.0,552270900.21451
2022-01-13,801080.SI,电子,5190.79,5081.26,5190.79,5081.63,-101.28,-1.95,381727.0,6583074.0,33.45,4.1,280365429.0,541289059.603586
2022-01-14,801080.SI,电子,5053.78,5051.96,5169.25,5136.64,55.01,1.08,399930.0,7307702.0,33.81,4.15,283400217.0,546439205.979202
2022-01-17,801080.SI,电子,5137.7,5137.7,5270.62,5257.2,120.56,2.35,424164.0,8231743.0,34.61,4.25,290097921.0,558767291.727699
2022-01-18,801080.SI,电子,5254.19,5238.63,5332.61,5264.47,7.27,0.14,405707.0,7752882.0,34.66,4.25,290511044.0,560029894.193018
2022-01-19,801080.SI,电子,5238.3,5155.59,5248.38,5185.16,-79.31,-1.51,334433.0,6326868.0,34.14,4.19,286287740.0,551869791.533881
2022-01-20,801080.SI,电子,5182.7,5117.26,5221.68,5118.63,-66.53,-1.28,379147.0,6763442.0,33.7,4.14,282580857.0,544804410.8022
2022-01-21,801080.SI,电子,5099.93,5019.06,5116.19,5023.28,-95.35,-1.86,333727.0,5860449.0,33.08,4.06,277371336.0,534614592.513341
2022-01-24,801080.SI,电子,5002.52,5002.52,5105.44,5077.01,53.73,1.07,297176.0,5979556.0,33.43,4.1,280337892.0,540003532.114802
2022-01-25,801080.SI,电子,5066.77,4919.52,5099.08,4919.52,-157.49,-3.1,376620.0,6392273.0,32.4,3.97,271697464.0,523377877.103205
2022-01-26,801080.SI,电子,4930.03,4882.65,4977.81,4953.54,34.02,0.69,277991.0,5330811.0,32.62,4.0,273584020.0,527140093.627895
2022-01-27,801080.SI,电子,4948.7,4780.58,4962.33,4782.53,-171.01,-3.45,309510.0,5747963.0,31.49,3.86,264140819.0,509377349.121615
2022-01-28,801080.SI,电子,4809.28,4722.96,4845.9,4758.41,-24.12,-0.5,305633.0,5615833.0,31.33,3.84,262811647.0,506856091.686134
2022-02-07,801080.SI,电子,4833.71,4757.42,4856.87,4770.45,12.04,0.25,316899.0,5699333.0,31.39,3.85,263366520.0,508281376.213108
2022-02-08,801080.SI,电子,4762.16,4598.43,4762.17,4683.72,-86.73,-1.82,309596.0,6073310.0,30.76,3.78,259021311.0,500355163.607116
2022-02-09,801080.SI,电子,4687.13,4640.77,4743.7,4741.05,57.33,1.22,315705.0,5732484.0,31.14,3.83,262279766.0,505957704.667117
2022-02-10,801080.SI,电子,4752.56,4700.66,4775.92,4720.24,-20.81,-0.44,295135.0,5235104.0,31.01,3.81,261327989.0,503961200.683634
2022-02-11,801080.SI,电子,4694.53,4593.49,4694.63,4600.3,-119.94,-2.54,336649.0,5693108.0,30.21,3.71,254722603.0,491997778.159884
2022-02-14,801080.SI,电子,4572.38,4556.16,4644.72,4581.41,-18.89,-0.41,276077.0,5002167.0,30.09,3.7,253675735.0,490122753.741688
2022-02-15,801080.SI,电子,4588.97,4588.72,4719.54,4718.67,137.26,3.0,279822.0,5458056.0,31.0,3.81,261377507.0,503802572.153448
2022-02-16,801080.SI,电子,4747.75,4697.77,4747.75,4709.97,-8.7,-0.18,258394.0,4762994.0,30.94,3.8,260900543.0,503094962.531996
2022-02-17,801080.SI,电子,4700.36,4677.63,4777.52,4732.77,22.8,0.48,276260.0,5213716.0,31.08,3.82,262156897.0,505335935.639465
2022-02-18,801080.SI,电子,4694.31,4686.3,4713.16,4709.68,-23.09,-0.49,228873.0,3977465.0,30.93,3.8,260881790.0,503025250.985601
2022-02-21,801080.SI,电子,4698.47,4691.61,4722.35,4713.13,3.45,0.07,327150.0,4907403.0,30.96,3.8,261076449.0,503501311.161453
2022-02-22,801080.SI,电子,4674.81,4599.83,4693.44,4678.81,-34.32,-0.73,326180.0,5779685.0,30.73,3.77,259255051.0,500042275.250268
2022-02-23,801080.SI,电子,4683.02,4683.02,4875.27,4873.83,195.02,4.17,394533.0,8244835.0,32.02,3.93,270110307.0,520471421.241565
