trade_date,ts_code,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2022-01-04,801730.SI,电力设备,12688.42,12094.75,12688.42,12143.51,-393.36,-3.14,534772.0,12093984.0,53.62,6.08,369658908.0,701454607.751777
2022-01-05,801730.SI,电力设备,12125.13,11658.06,12125.13,11703.89,-439.62,-3.62,561802.0,11131115.0,51.68,5.86,356277591.0,677909769.313205
2022-01-06,801730.SI,电力设备,11585.55,11485.85,11769.97,11698.69,-5.2,-0.04,458522.0,9193837.0,51.65,5.86,356220836.0,678086750.652719
2022-01-07,801730.SI,电力设备,11728.68,11432.38,11781.13,11494.5,-204.19,-1.75,459575.0,9254175.0,50.75,5.76,350019380.0,665674662.431541
2022-01-10,801730.SI,电力设备,11451.45,11297.41,11530.35,11422.12,-72.38,-0.63,364645.0,7959347.0,50.43,5.72,347815631.0,661630666.599256
2022-01-11,801730.SI,电力设备,11459.61,11292.04,11541.41,11313.62,-108.5,-0.95,382264.0,8076335.0,50.19,5.68,344525693.0,655251658.96479
2022-01-12,801730.SI,电力设备,11538.93,11535.28,11770.35,11761.57,447.95,3.96,453476.0,10640062.0,52.16,5.9,358337091.0,681093920.312272
2022-01-13,801730.SI,电力设备,11787.15,11515.82,11832.92,11608.31,-153.26,-1.3,453769.0,8877674.0,51.48,5.83,353669656.0,672375519.000584
2022-01-14,801730.SI,电力设备,11507.68,11507.68,11827.3,11738.94,130.63,1.13,429702.0,8866594.0,52.06,5.89,357653272.0,679866813.865909
2022-01-17,801730.SI,电力设备,11795.42,11754.22,12028.62,11969.28,230.34,1.96,407668.0,9283643.0,53.1,6.01,364804453.0,693484902.43796
2022-01-18,801730.SI,电力设备,11946.56,11810.69,11962.17,11854.85,-114.43,-0.96,424927.0,8527308.0,52.59,5.95,361329788.0,687933800.429003
2022-01-19,801730.SI,电力设备,11843.24,11445.83,11850.88,11564.48,-290.37,-2.45,374499.0,8673582.0,51.31,5.8,352712007.0,671837850.638423
2022-01-20,801730.SI,电力设备,11532.08,11410.28,11787.48,11422.04,-142.44,-1.23,384326.0,7319560.0,50.68,5.73,348381185.0,662931258.820883
2022-01-21,801730.SI,电力设备,11392.98,11278.27,11550.28,11398.95,-23.09,-0.2,316896.0,6823017.0,50.57,5.72,347790656.0,661319294.435633
2022-01-24,801730.SI,电力设备,11334.57,11305.19,11711.23,11636.65,237.7,2.09,323429.0,7860865.0,51.61,5.83,355218180.0,675023911.142092
2022-01-25,801730.SI,电力设备,11548.22,11291.4,11680.33,11291.4,-345.25,-2.97,366531.0,7307620.0,50.08,5.66,344789815.0,654879467.697879
2022-01-26,801730.SI,电力设备,11380.88,11329.13,11575.09,11563.27,271.87,2.41,337230.0,7487507.0,51.29,5.79,353293597.0,671021797.498182
2022-01-27,801730.SI,电力设备,11542.24,11198.08,11567.48,11202.87,-360.4,-3.12,347591.0,7755908.0,49.69,5.61,342292810.0,650132007.657516
2022-01-28,801730.SI,电力设备,11359.99,10908.58,11372.1,11180.55,-22.32,-0.2,360982.0,9237050.0,49.59,5.6,341560387.0,649431625.640577
