trade_date,ts_code,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2022-01-04,801050.SI,有色金属,5788.31,5612.66,5794.67,5645.61,-105.81,-1.84,377010.0,6495128.0,28.86,3.47,142488187.0,266138261.408163
2022-01-05,801050.SI,有色金属,5631.05,5477.48,5631.05,5500.54,-145.07,-2.57,353179.0,5357926.0,28.12,3.38,138842855.0,259610407.970432
2022-01-06,801050.SI,有色金属,5473.56,5464.15,5582.12,5565.77,65.23,1.19,294771.0,4874367.0,28.45,3.43,140512610.0,262630528.15642
2022-01-07,801050.SI,有色金属,5551.56,5425.53,5551.56,5441.57,-124.2,-2.23,376705.0,5688138.0,27.82,3.35,137380922.0,257425453.31884
2022-01-10,801050.SI,有色金属,5441.59,5427.14,5514.93,5488.82,47.25,0.87,309837.0,4585876.0,28.06,3.38,138613960.0,259587043.899833
2022-01-11,801050.SI,有色金属,5493.33,5454.47,5520.78,5474.49,-14.32,-0.26,342525.0,4825292.0,28.0,3.37,138404885.0,259236245.432511
2022-01-12,801050.SI,有色金属,5558.03,5558.0,5646.88,5646.88,172.39,3.15,450693.0,6270966.0,28.89,3.48,142763310.0,266775595.151594
2022-01-13,801050.SI,有色金属,5676.12,5552.28,5676.14,5555.44,-91.44,-1.62,479492.0,6589810.0,28.42,3.42,140458540.0,262404116.107926
2022-01-14,801050.SI,有色金属,5515.21,5503.28,5562.42,5533.49,-21.95,-0.4,379795.0,5226830.0,28.31,3.41,139911317.0,261568872.874808
2022-01-17,801050.SI,有色金属,5508.66,5452.93,5515.86,5509.35,-24.14,-0.44,313893.0,4648058.0,28.19,3.39,139300834.0,260594790.942809
2022-01-18,801050.SI,有色金属,5502.52,5485.36,5570.94,5526.63,17.28,0.31,306781.0,4268817.0,28.27,3.4,139737700.0,261348912.513406
2022-01-19,801050.SI,有色金属,5506.97,5369.96,5506.97,5411.34,-115.29,-2.09,288487.0,4488669.0,27.68,3.33,136830629.0,256486381.500247
2022-01-20,801050.SI,有色金属,5441.65,5359.11,5492.62,5360.86,-50.48,-0.93,325530.0,4594337.0,27.43,3.3,135554146.0,253711291.72961
