trade_date,ts_code,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2022-01-04,801780.SI,银行,3527.66,3498.55,3534.39,3534.39,7.02,0.2,220218.0,1745612.0,6.03,0.6,207123407.0,718001618.112727
2022-01-05,801780.SI,银行,3535.81,3533.12,3612.89,3596.61,62.22,1.76,364385.0,2880764.0,6.14,0.62,210769369.0,728440573.873939
2022-01-06,801780.SI,银行,3590.19,3569.9,3596.16,3573.51,-23.1,-0.64,225572.0,1816447.0,6.1,0.61,209415746.0,724589712.557221
2022-01-07,801780.SI,银行,3574.99,3574.99,3630.37,3629.18,55.67,1.56,338215.0,2357252.0,6.19,0.62,212678046.0,735590652.908935
2022-01-10,801780.SI,银行,3643.38,3612.63,3663.1,3642.84,13.66,0.38,272641.0,2142737.0,6.22,0.62,213478350.0,737735569.827444
2022-01-11,801780.SI,银行,3654.11,3637.95,3697.34,3684.26,41.42,1.14,293663.0,2541666.0,6.28,0.63,215479192.0,743251005.224447
2022-01-12,801780.SI,银行,3689.37,3651.11,3691.8,3675.05,-9.21,-0.25,273565.0,2189226.0,6.27,0.63,214940849.0,740223181.925418
2022-01-13,801780.SI,银行,3672.39,3666.7,3712.75,3672.5,-2.55,-0.07,284779.0,2038900.0,6.26,0.63,214768170.0,741361724.136938
2022-01-14,801780.SI,银行,3670.24,3588.35,3670.24,3590.01,-82.49,-2.25,308080.0,2408510.0,6.12,0.61,209943455.0,727053935.256009
2022-01-17,801780.SI,银行,3594.53,3573.67,3616.85,3589.65,-0.36,-0.01,191428.0,1551097.0,6.12,0.61,209924140.0,726431494.396137
2022-01-18,801780.SI,银行,3595.9,3590.18,3661.71,3659.9,70.25,1.96,265447.0,2151588.0,6.24,0.63,214033570.0,738046389.20669
2022-01-19,801780.SI,银行,3661.69,3656.95,3689.64,3683.04,23.14,0.63,224902.0,1946615.0,6.28,0.63,215385515.0,740925108.368657
2022-01-20,801780.SI,银行,3685.93,3681.28,3775.8,3760.25,77.21,2.1,389417.0,3487248.0,6.41,0.64,219902502.0,753575116.296306
2022-01-21,801780.SI,银行,3753.37,3730.74,3757.22,3745.03,-15.22,-0.4,245103.0,2107623.0,6.39,0.64,219014482.0,750271394.790135
2022-01-24,801780.SI,银行,3744.21,3710.53,3753.4,3740.83,-4.2,-0.11,231627.0,1897446.0,6.39,0.64,219180845.0,752705753.283779
2022-01-25,801780.SI,银行,3726.11,3678.05,3726.11,3678.05,-62.78,-1.68,265361.0,2041053.0,6.28,0.63,215502786.0,741858961.748959
2022-01-26,801780.SI,银行,3687.2,3663.71,3696.52,3683.62,5.57,0.15,203114.0,1569750.0,6.29,0.63,215844099.0,743128731.939449
2022-01-27,801780.SI,银行,3675.57,3647.96,3694.38,3667.61,-16.01,-0.43,236974.0,1812944.0,6.26,0.63,214906183.0,740294486.505177
2022-01-28,801780.SI,银行,3678.05,3609.43,3679.72,3609.43,-58.18,-1.59,262450.0,2055253.0,6.17,0.62,211957902.0,732363166.943669
2022-02-07,801780.SI,银行,3657.82,3657.82,3725.55,3723.58,114.15,3.16,304400.0,2481954.0,6.37,0.64,218661152.0,749881969.616213
2022-02-08,801780.SI,银行,3724.37,3724.37,3778.26,3776.54,52.96,1.42,422929.0,2897171.0,6.46,0.65,221904747.0,762077183.979233
2022-02-09,801780.SI,银行,3781.81,3752.17,3799.66,3761.11,-15.43,-0.41,345116.0,2464660.0,6.43,0.64,220998381.0,759750815.578144
2022-02-10,801780.SI,银行,3763.08,3739.72,3790.36,3790.36,29.25,0.78,266540.0,1860755.0,6.48,0.65,222716862.0,765349202.316717
2022-02-11,801780.SI,银行,3791.64,3791.64,3850.65,3833.17,42.81,1.13,332982.0,2726200.0,6.55,0.66,225274312.0,771665246.80693
2022-02-14,801780.SI,银行,3831.31,3736.83,3831.31,3743.6,-89.57,-2.34,302656.0,2296174.0,6.4,0.64,220010487.0,756092142.895279
2022-02-15,801780.SI,银行,3732.94,3677.87,3752.91,3695.66,-47.94,-1.28,262359.0,2122448.0,6.32,0.63,217193064.0,747140977.295311
2022-02-16,801780.SI,银行,3709.65,3709.08,3746.89,3732.3,36.64,0.99,181060.0,1432813.0,6.38,0.64,219346182.0,753354083.702298
2022-02-17,801780.SI,银行,3738.14,3728.78,3772.05,3743.2,10.9,0.29,198410.0,1601915.0,6.4,0.64,219986782.0,754662607.578451
2022-02-18,801780.SI,银行,3733.4,3733.4,3791.02,3791.02,47.82,1.28,202709.0,1564982.0,6.48,0.65,222796984.0,762252788.990378
2022-02-21,801780.SI,银行,3777.62,3732.17,3777.62,3772.32,-18.7,-0.49,188700.0,1431699.0,6.45,0.65,221698207.0,758796707.640474
2022-02-22,801780.SI,银行,3749.73,3736.89,3765.36,3752.2,-20.12,-0.53,184463.0,1526899.0,6.41,0.64,220515979.0,754042140.143522
2022-02-23,801780.SI,银行,3757.73,3711.12,3757.73,3719.88,-32.32,-0.86,213410.0,1653583.0,6.36,0.64,218616300.0,749520317.046622
2022-02-24,801780.SI,银行,3710.34,3661.04,3713.56,3666.64,-53.24,-1.43,285178.0,2033000.0,6.27,0.63,215487388.0,738560064.58142
2022-02-25,801780.SI,银行,3673.97,3637.38,3686.97,3649.63,-17.01,-0.46,225494.0,1701502.0,6.24,0.63,214487906.0,735796649.36678
2022-02-28,801780.SI,银行,3641.82,3611.51,3647.6,3645.78,-3.86,-0.11,201897.0,1475644.0,6.23,0.62,214261390.0,735203505.536424
2022-03-01,801780.SI,银行,3650.87,3631.07,3684.14,3678.73,32.95,0.9,213393.0,1690772.0,6.29,0.63,216257459.0,741335951.642481
2022-03-02,801780.SI,银行,3654.91,3654.89,3681.14,3661.56,-17.17,-0.47,176013.0,1364868.0,6.26,0.63,215247892.0,739625364.449769
2022-03-03,801780.SI,银行,3668.87,3668.87,3695.44,3690.21,28.65,0.78,205912.0,1542122.0,6.31,0.63,216932158.0,745546012.482507
2022-03-04,801780.SI,银行,3676.68,3634.91,3676.68,3650.58,-39.63,-1.07,208867.0,1623991.0,6.24,0.63,214602744.0,739731090.011926
2022-03-07,801780.SI,银行,3623.88,3566.34,3623.88,3574.25,-76.33,-2.09,247584.0,2086776.0,6.11,0.61,210115697.0,726728524.254091
2022-03-08,801780.SI,银行,3562.49,3489.97,3570.31,3495.28,-78.97,-2.21,272325.0,2097738.0,5.98,0.6,205473147.0,714823332.58349
2022-03-09,801780.SI,银行,3504.71,3362.26,3510.14,3436.38,-58.9,-1.69,388219.0,2690146.0,5.88,0.59,202010673.0,704124824.66708
2022-03-10,801780.SI,银行,3492.82,3463.67,3501.25,3463.67,27.29,0.79,245515.0,1934241.0,5.92,0.59,203520729.0,706898169.287523
2022-03-11,801780.SI,银行,3446.59,3404.63,3489.13,3481.89,18.22,0.53,277850.0,2041024.0,5.95,0.6,204591507.0,711635886.015592
2022-03-14,801780.SI,银行,3438.06,3389.86,3468.66,3389.86,-92.03,-2.64,246568.0,1937009.0,5.79,0.58,199183682.0,698360235.378236
2022-03-15,801780.SI,银行,3369.33,3230.06,3369.33,3230.56,-159.3,-4.7,425791.0,3048321.0,5.52,0.55,189823355.0,673295190.797925
2022-03-16,801780.SI,银行,3264.55,3222.78,3370.82,3356.78,126.22,3.91,386758.0,2891248.0,5.73,0.57,197239662.0,691637198.40732
2022-03-17,801780.SI,银行,3410.33,3375.85,3435.2,3395.51,38.73,1.15,331709.0,2611091.0,5.8,0.58,199515159.0,695811817.426544
2022-03-18,801780.SI,银行,3389.59,3384.87,3475.12,3474.25,78.74,2.32,357088.0,2647188.0,5.93,0.59,204141658.0,708026591.044967
2022-03-21,801780.SI,银行,3465.96,3415.62,3469.76,3424.89,-49.36,-1.42,233031.0,1854370.0,5.82,0.58,201241221.0,700853997.632767
2022-03-22,801780.SI,银行,3427.47,3427.47,3500.39,3487.72,62.83,1.83,279416.0,1992914.0,5.92,0.59,204933255.0,713055932.481142
2022-03-23,801780.SI,银行,3484.48,3443.39,3484.48,3463.84,-23.88,-0.68,238768.0,2043929.0,5.88,0.59,203530342.0,709408059.00992
2022-03-24,801780.SI,银行,3450.09,3439.54,3485.49,3474.97,11.13,0.32,181425.0,1422128.0,5.9,0.59,204184627.0,710896260.969572
2022-03-25,801780.SI,银行,3475.43,3458.8,3500.82,3469.95,-5.01,-0.14,201217.0,1447447.0,5.85,0.59,203889979.0,710605694.926277
2022-03-28,801780.SI,银行,3449.83,3419.81,3496.53,3482.07,12.12,0.35,278082.0,1748090.0,5.88,0.59,204602133.0,715905138.622474
2022-03-29,801780.SI,银行,3483.62,3477.49,3498.15,3487.71,5.64,0.16,211514.0,1391951.0,5.89,0.59,204933726.0,718274874.246776
2022-03-30,801780.SI,银行,3498.76,3486.09,3536.96,3536.81,49.1,1.41,281517.0,1918509.0,5.94,0.6,208000571.0,726674996.221728
2022-03-31,801780.SI,银行,3521.26,3521.26,3599.51,3586.03,49.22,1.39,384365.0,2522029.0,6.01,0.6,210274190.0,735535404.100236
2022-04-01,801780.SI,银行,3567.53,3566.33,3649.56,3649.56,63.53,1.77,391858.0,2749491.0,6.11,0.61,213999271.0,746201363.601187
2022-04-06,801780.SI,银行,3620.95,3620.95,3720.73,3705.85,56.29,1.54,461104.0,3240546.0,6.21,0.62,217299756.0,755275085.295346
2022-04-07,801780.SI,银行,3699.77,3663.51,3725.41,3663.51,-42.34,-1.14,389835.0,2691887.0,6.13,0.61,215319235.0,748718722.671261
2022-04-08,801780.SI,银行,3663.05,3649.92,3693.96,3693.8,30.29,0.83,296798.0,2088650.0,6.2,0.63,213204716.0,753112473.176384
2022-04-11,801780.SI,银行,3677.13,3623.99,3677.13,3635.29,-58.51,-1.58,283748.0,2047019.0,6.1,0.62,209824755.0,742840576.220042
2022-04-12,801780.SI,银行,3634.78,3595.07,3665.68,3638.03,2.74,0.08,307240.0,2202817.0,6.11,0.62,209982897.0,744004072.879242
2022-04-13,801780.SI,银行,3631.61,3629.59,3666.11,3635.57,-2.46,-0.07,245459.0,1771636.0,6.09,0.62,209841005.0,743437854.295926
2022-04-14,801780.SI,银行,3660.41,3627.04,3666.88,3627.04,-8.53,-0.23,232245.0,1746703.0,6.08,0.62,209346933.0,741537727.036477
2022-04-15,801780.SI,银行,3618.29,3615.25,3696.25,3685.86,58.82,1.62,272858.0,2098906.0,6.18,0.63,212742259.0,749456895.241709
2022-04-18,801780.SI,银行,3646.05,3565.73,3646.05,3576.3,-109.56,-2.97,290742.0,2863114.0,5.99,0.61,206418581.0,731490355.494891
2022-04-19,801780.SI,银行,3550.16,3517.66,3570.16,3561.77,-14.53,-0.41,236449.0,2528241.0,5.96,0.61,205459738.0,731621447.788679
2022-04-20,801780.SI,银行,3556.81,3516.68,3564.66,3520.59,-41.18,-1.16,209729.0,1845607.0,5.89,0.6,203084291.0,726111207.21508
