trade_date,ts_code,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2022-01-04,801120.SI,食品饮料,27027.6,26592.58,27064.71,27031.93,-12.44,-0.05,151506.0,4925807.0,44.22,8.88,286957221.0,711764520.559434
2022-01-05,801120.SI,食品饮料,26968.28,26774.57,27301.69,26877.33,-154.6,-0.57,177449.0,5194674.0,43.97,8.83,285316092.0,707488745.846009
2022-01-06,801120.SI,食品饮料,26842.08,26130.81,26943.56,26456.48,-420.85,-1.57,131019.0,4993914.0,43.28,8.69,280848601.0,697420054.031637
2022-01-07,801120.SI,食品饮料,26400.32,26003.03,26459.51,26022.7,-433.78,-1.64,151525.0,4447407.0,42.57,8.55,276243802.0,685801924.932414
2022-01-10,801120.SI,食品饮料,25816.73,25544.48,26145.65,26048.63,25.92,0.1,137038.0,4580955.0,42.62,8.56,276543404.0,686467996.680675
2022-01-11,801120.SI,食品饮料,25927.82,25615.11,26011.83,25630.65,-417.98,-1.6,115952.0,3679973.0,41.94,8.42,272125350.0,675897068.13979
2022-01-12,801120.SI,食品饮料,25711.84,25688.15,25989.82,25957.94,327.29,1.28,132773.0,3987049.0,42.47,8.54,275548607.0,684462573.273954
2022-01-13,801120.SI,食品饮料,25982.09,25060.2,25982.09,25101.37,-856.57,-3.3,147731.0,5379561.0,41.07,8.25,266455900.0,661923069.134272
2022-01-14,801120.SI,食品饮料,25047.7,24865.66,25234.87,24876.81,-224.56,-0.89,147214.0,4097772.0,40.7,8.18,264072104.0,655308470.265165
2022-01-17,801120.SI,食品饮料,24847.15,24510.57,24974.54,24941.55,64.74,0.26,144755.0,3823721.0,40.81,8.2,264746229.0,656559429.612389
2022-01-18,801120.SI,食品饮料,24939.98,24846.16,25384.29,25236.79,295.24,1.18,140281.0,4333986.0,41.29,8.3,267880128.0,664623130.871143
2022-01-19,801120.SI,食品饮料,25383.07,24979.2,25383.11,25183.66,-53.13,-0.21,134163.0,3761087.0,41.2,8.28,267316148.0,664192076.659449
2022-01-20,801120.SI,食品饮料,25196.63,25196.63,25685.94,25582.76,399.1,1.58,132200.0,4221531.0,41.85,8.41,271552473.0,674805659.021991
2022-01-21,801120.SI,食品饮料,25470.92,25393.39,25965.68,25825.51,242.75,0.95,123943.0,4432432.0,42.25,8.49,274161218.0,681246767.877367
2022-01-24,801120.SI,食品饮料,25590.5,25351.85,25847.3,25513.33,-312.17,-1.21,93859.0,3227585.0,41.74,8.39,270847205.0,672709623.691072
2022-01-25,801120.SI,食品饮料,25379.74,24995.12,25546.12,24995.48,-517.85,-2.03,115263.0,3553284.0,40.91,8.21,265879705.0,659824301.336979
2022-01-26,801120.SI,食品饮料,24982.6,24669.84,25342.6,25093.28,97.8,0.39,96617.0,3596484.0,41.07,8.25,266912742.0,662979750.230056
2022-01-27,801120.SI,食品饮料,25308.9,24745.12,25422.17,24786.67,-306.61,-1.22,96322.0,3744135.0,40.57,8.15,263722508.0,655580335.606217
2022-01-28,801120.SI,食品饮料,24791.96,24144.73,24839.17,24180.63,-606.04,-2.45,93161.0,3697380.0,39.58,7.95,257276975.0,638786450.91449
2022-02-07,801120.SI,食品饮料,24427.93,24015.37,24716.88,24142.93,-37.7,-0.16,95820.0,3764989.0,39.52,7.93,256880065.0,637109122.604054
2022-02-08,801120.SI,食品饮料,24145.83,23321.44,24145.83,23789.06,-353.87,-1.47,93164.0,3778942.0,38.87,7.79,251954145.0,627847255.2314
2022-02-09,801120.SI,食品饮料,23754.08,23719.83,24612.9,24546.94,757.88,3.19,99384.0,3875674.0,40.12,8.04,260040492.0,647539535.903044
2022-02-10,801120.SI,食品饮料,24565.75,24238.43,24565.79,24400.81,-146.13,-0.6,90788.0,3033976.0,39.88,7.99,258492499.0,643278348.954318
