trade_date,食品饮料,电力设备,电子,医药生物,有色金属,银行
2022-01-04,27031.93,12143.51,5497.86,11237.37,5645.61,3534.39
2022-01-05,26877.33,11703.89,5296.11,11003.74,5500.54,3596.61
2022-01-06,26456.48,11698.69,5273.45,11026.85,5565.77,3573.51
2022-01-07,26022.7,11494.5,5202.63,10936.78,5441.57,3629.18
2022-01-10,26048.63,11422.12,5218.0,11095.68,5488.82,3642.84
2022-01-11,25630.65,11313.62,5098.68,11150.53,5474.49,3684.26
2022-01-12,25957.94,11761.57,5182.91,11253.63,5646.88,3675.05
2022-01-13,25101.37,11608.31,5081.63,11025.12,5555.44,3672.5
2022-01-14,24876.81,11738.94,5136.64,11200.58,5533.49,3590.01
2022-01-17,24941.55,11969.28,5257.2,11254.89,5509.35,3589.65
2022-01-18,25236.79,11854.85,5264.47,11037.13,5526.63,3659.9
2022-01-19,25183.66,11564.48,5185.16,10816.13,5411.34,3683.04
2022-01-20,25582.76,11422.04,5118.63,10719.34,5360.86,3760.25
2022-01-21,25825.51,11398.95,5023.28,10395.03,5377.22,3745.03
2022-01-24,25513.33,11636.65,5077.01,10294.66,5459.19,3740.83
2022-01-25,24995.48,11291.4,4919.52,9990.04,5324.75,3678.05
2022-01-26,25093.28,11563.27,4953.54,9847.43,5361.94,3683.62
2022-01-27,24786.67,11202.87,4782.53,9665.79,5207.99,3667.61
2022-01-28,24180.63,11180.55,4758.41,9684.57,5133.86,3609.43
2022-02-07,24142.93,11284.92,4770.45,9759.98,5292.58,3723.58
2022-02-08,23789.06,10896.01,4683.72,9706.83,5302.74,3776.54
2022-02-09,24546.94,10968.64,4741.05,9834.63,5459.68,3761.11
2022-02-10,24400.81,10606.55,4720.24,9742.45,5504.89,3790.36
2022-02-11,24254.8,10265.67,4600.3,9419.72,5484.28,3833.17
2022-02-14,24530.19,10322.7,4581.41,9470.44,5513.51,3743.6
2022-02-15,24830.84,10728.3,4718.67,9792.19,5569.48,3695.66
2022-02-16,24947.82,10737.05,4709.97,9832.6,5601.09,3732.3
2022-02-17,24820.89,10966.42,4732.77,9784.56,5773.98,3743.2
2022-02-18,24975.16,10833.44,4709.68,9876.33,5775.5,3791.02
2022-02-21,24912.21,10803.47,4713.13,9965.83,5760.63,3772.32
